No,gpa_post,gpa_prior,rm_avg,rm_diff,or_indorm,gender,major,cohort,semester
11,0.3333333333333333,0.3047619047619048,0.5555555555555555,0.45714285714285713,3,0,5,1,1
11,0.38095238095238093,0.3333333333333333,0.580952380952381,0.41269841269841273,4,0,5,1,2
11,0.3142857142857143,0.38095238095238093,0.7555555555555556,0.36190476190476195,4,0,5,1,3
11,0.3142857142857143,0.3142857142857143,0.7142857142857143,0.3746031746031746,4,0,5,1,4
12,0.3523809523809524,0.2571428571428571,0.5714285714285714,0.4253968253968254,4,0,5,1,1
12,0.44761904761904764,0.3523809523809524,0.5746031746031746,0.4253968253968254,3,0,5,1,2
12,0.37142857142857144,0.44761904761904764,0.7333333333333334,0.4063492063492064,3,0,5,1,3
12,0.638095238095238,0.37142857142857144,0.6952380952380951,0.41269841269841273,3,0,5,1,4
13,0.2857142857142857,0.2,0.726984126984127,0.24761904761904763,4,0,5,1,1
13,0.7333333333333333,0.2857142857142857,0.6571428571428571,0.4761904761904763,3,0,5,1,2
13,0.638095238095238,0.7333333333333333,0.7746031746031746,0.2793650793650793,3,0,5,1,3
13,0.8857142857142857,0.638095238095238,0.6761904761904761,0.2793650793650794,2,0,5,1,4
14,0.8380952380952381,0.9142857142857143,0.48888888888888893,0.34920634920634913,1,0,5,1,1
14,0.5523809523809524,0.8380952380952381,0.47301587301587306,0.4761904761904762,2,0,5,1,2
14,0.6,0.5523809523809524,0.834920634920635,0.15873015873015875,4,0,5,1,3
14,0.47619047619047616,0.6,0.6888888888888888,0.2793650793650794,3,0,5,1,4
15,0.20952380952380953,0.7238095238095238,0.5523809523809523,0.4761904761904761,2,0,5,1,1
15,0.8,0.20952380952380953,0.6825396825396824,0.42539682539682544,4,0,5,1,2
15,0.5047619047619047,0.8,0.7523809523809524,0.2793650793650793,2,0,5,1,3
15,0.6285714285714286,0.5047619047619047,0.7206349206349207,0.2158730158730159,4,0,5,1,4
16,0.9238095238095239,0.5428571428571428,0.6126984126984127,0.4761904761904761,3,0,5,1,1
16,0.9714285714285714,0.9238095238095239,0.4444444444444444,0.41904761904761906,1,0,5,1,2
16,0.9238095238095239,0.9714285714285714,0.6952380952380951,0.16507936507936508,1,0,5,1,3
16,0.9428571428571428,0.9238095238095239,0.580952380952381,0.08888888888888886,1,0,5,1,4
17,0.06666666666666667,0.13333333333333333,0.19365079365079366,0.3047619047619048,2,0,5,1,1
17,0.047619047619047616,0.06666666666666667,0.24126984126984127,0.2984126984126984,3,0,5,1,2
17,0.01904761904761905,0.047619047619047616,0.15873015873015875,0.19682539682539682,3,0,5,1,3
17,0.02857142857142857,0.01904761904761905,0.2698412698412698,0.33015873015873015,4,0,5,1,4
18,0.18095238095238095,0.0380952380952381,0.2253968253968254,0.2984126984126984,4,0,5,1,1
18,0.12380952380952381,0.18095238095238095,0.2031746031746032,0.2984126984126984,2,0,5,1,2
18,0.23809523809523808,0.12380952380952381,0.13333333333333333,0.19682539682539682,2,0,5,1,3
18,0.3047619047619048,0.23809523809523808,0.19682539682539682,0.3428571428571428,2,0,5,1,4
19,0.047619047619047616,0.047619047619047616,0.22222222222222224,0.3047619047619048,3,0,5,1,1
19,0.02857142857142857,0.047619047619047616,0.24761904761904763,0.28571428571428575,4,0,5,1,2
19,0.0380952380952381,0.02857142857142857,0.16507936507936508,0.18412698412698414,4,0,5,1,3
19,0.047619047619047616,0.0380952380952381,0.2634920634920635,0.3428571428571428,3,0,5,1,4
20,0.49523809523809526,0.49523809523809526,0.07301587301587302,0.06349206349206349,1,0,5,1,1
20,0.3238095238095238,0.49523809523809526,0.09841269841269841,0.08888888888888889,1,0,5,1,2
20,0.5333333333333333,0.3238095238095238,0.06666666666666667,0.06349206349206349,1,0,5,1,3
20,0.5619047619047619,0.5333333333333333,0.0984126984126984,0.146031746031746,1,0,5,1,4
21,0.11428571428571428,0.44761904761904764,0.8317460317460318,0.1777777777777778,4,1,5,1,1
21,0.13333333333333333,0.11428571428571428,0.45396825396825397,0.35555555555555557,3,1,5,1,2
21,0.24761904761904763,0.13333333333333333,0.5333333333333333,0.4507936507936508,4,1,5,1,3
21,0.5142857142857142,0.24761904761904763,0.4761904761904761,0.39365079365079364,3,1,5,1,4
22,0.638095238095238,0.8952380952380953,0.6825396825396824,0.32380952380952377,2,1,5,1,1
22,0.8476190476190476,0.638095238095238,0.27936507936507937,0.3428571428571428,1,1,5,1,2
22,0.6285714285714286,0.8476190476190476,0.29523809523809524,0.29841269841269846,1,1,5,1,3
22,0.5238095238095238,0.6285714285714286,0.34920634920634924,0.39365079365079364,2,1,5,1,4
23,0.10476190476190476,0.9333333333333333,0.6698412698412698,0.2984126984126984,1,1,5,1,1
23,0.17142857142857143,0.10476190476190476,0.45714285714285713,0.34920634920634913,4,1,5,1,2
23,0.10476190476190476,0.17142857142857143,0.5206349206349207,0.4761904761904762,3,1,5,1,3
23,0.10476190476190476,0.10476190476190476,0.5238095238095238,0.2984126984126984,4,1,5,1,4
24,0.6190476190476191,0.6666666666666666,0.7587301587301587,0.3238095238095238,3,1,5,1,1
24,0.580952380952381,0.6190476190476191,0.2857142857142857,0.35555555555555546,2,1,5,1,2
24,0.6952380952380952,0.580952380952381,0.3841269841269841,0.4761904761904762,2,1,5,1,3
24,0.5714285714285714,0.6952380952380952,0.326984126984127,0.34920634920634924,1,1,5,1,4
25,0.26666666666666666,0.0761904761904762,0.27301587301587305,0.39365079365079364,3,0,5,1,1
25,0.6666666666666666,0.26666666666666666,0.09206349206349206,0.15238095238095237,1,0,5,1,2
25,0.5238095238095238,0.6666666666666666,0.12063492063492065,0.09523809523809525,1,0,5,1,3
25,0.8,0.5238095238095238,0.09206349206349207,0.09523809523809525,1,0,5,1,4
